Account Name,Account Number,Date Last Checked,Account URL
Jimmy’s Nissan,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Ricky Rick Inc,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Garry’s Pre-Owned,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
New Autos BMW,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Botman of Mensville,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Lumberton Ford,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Aston Martin,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Abe Lincoln KIA,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Walderly Cadillac,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Thrifty Car Sales,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Steve Nissan,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Ted Turner’s Ford,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
George 54,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Marks Auto,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Blossom Hill Mitsu,555-555-5555,Apr 11,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Ok Chevrolet Buick GMC,555-555-5555,Apr 12,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
New Autos Volkswagen,555-555-5555,Apr 13,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Walderly Chevrolet,555-555-5555,Apr 14,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Cadillac of Accident,555-555-5555,Apr 15,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Roberts Dodge,555-555-5555,Apr 16,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Duncannon's Ford of Ireland,555-555-5555,Apr 17,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Barry Toyota,555-555-5555,Apr 18,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Andy Chevrolet,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Gray Auto Center,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Springland Lincoln,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Shives Motors,555-555-5555,Apr 10,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
McDonnah’s Lincoln,555-555-5555,Apr 09,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Ford of Newport Beach,555-555-5555,Apr 09,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
Gallagher Kia,555-555-5555,Apr 09,https://ads.google.com/aw/overview?ocid=555530838&__c=5555572761&authuser=0&__u=5555508231
